Cluster,ABNO,ALVI,POTR,PSME,SASI,TSHE,Total,Longitude,Latitude
3,2,0,3,1,3,2,11,-122.1826364,46.24165091
5,2,1,2,3,3,2,13,-122.1824308,46.24283154
7,3,3,2,1,3,1,13,-122.1809,46.24256231
10,1,2,3,2,3,0,11,-122.1654,46.25598545
11,0,3,1,2,3,0,9,-122.1662889,46.25561
17,2,1,3,3,3,2,14,-122.16215,46.25297
22,2,3,2,3,4,1,15,-122.16972,46.25379467
23,3,2,0,3,3,2,13,-122.1706385,46.25347385
26,1,2,1,1,3,2,10,-122.1667,46.245999
29,0,3,2,3,3,2,13,-122.1634769,46.24385462
30,1,3,0,3,3,1,11,-122.1624636,46.24520455
32,0,3,1,2,3,1,10,-122.16083,46.245817
40,2,3,3,2,3,1,14,-122.16955,46.24187929
41,3,0,3,3,3,2,14,-122.1710143,46.24149214
60,2,2,2,3,3,0,12,-122.167875,46.24526333
61,2,3,3,3,3,3,17,-122.1740588,46.25430647
62,2,1,3,3,3,2,14,-122.1711571,46.24449143
63,3,3,0,1,3,1,11,-122.1735545,46.24435909
64,2,3,1,3,3,3,15,-122.1720133,46.246772
65,3,3,0,3,3,0,12,-122.1733,46.25020417
