OTU,Relative Abundance,Harvest
OTU01,0.451612903,July
OTU02,0,July
OTU03,0.177419355,July
OTU04,0.016129032,July
OTU05,0.032258065,July
OTU06,0.032258065,July
OTU07,0,July
OTU08,0,July
OTU10,0,July
OTU11,0,July
OTU12,0,July
OTU13,0.048387097,July
OTU14,0,July
OTU15,0.016129032,July
OTU16,0,July
OTU18,0,July
OTU20,0.064516129,July
OTU22,0,July
OTU23,0,July
OTU24,0.032258065,July
OTU25,0.032258065,July
OTU26,0,July
OTU27,0.016129032,July
OTU29,0,July
OTU30,0,July
OTU31,0.016129032,July
OTU32,0.032258065,July
OTU33,0,July
OTU34,0,July
OTU36,0,July
OTU37,0,July
OTU38,0,July
OTU39,0,July
OTU40,0,July
OTU41,0,July
OTU42,0,July
OTU45,0,July
OTU46,0,July
OTU47,0.016129032,July
OTU48,0.016129032,July
OTU01,0.383333333,August
OTU02,0.016666667,August
OTU03,0.1,August
OTU04,0,August
OTU05,0,August
OTU06,0.066666667,August
OTU07,0.033333333,August
OTU08,0,August
OTU10,0.033333333,August
OTU11,0.033333333,August
OTU12,0.033333333,August
OTU13,0,August
OTU14,0.033333333,August
OTU15,0,August
OTU16,0.033333333,August
OTU18,0,August
OTU20,0,August
OTU22,0,August
OTU23,0.066666667,August
OTU24,0.033333333,August
OTU25,0,August
OTU26,0.033333333,August
OTU27,0,August
OTU29,0.016666667,August
OTU30,0.016666667,August
OTU31,0,August
OTU32,0,August
OTU33,0,August
OTU34,0,August
OTU36,0,August
OTU37,0.033333333,August
OTU38,0,August
OTU39,0,August
OTU40,0,August
OTU41,0.033333333,August
OTU42,0,August
OTU45,0,August
OTU46,0,August
OTU47,0,August
OTU48,0,August
OTU01,0.293269231,September
OTU02,0,September
OTU03,0.033653846,September
OTU04,0.134615385,September
OTU05,0,September
OTU06,0.019230769,September
OTU07,0.043269231,September
OTU08,0.048076923,September
OTU10,0.019230769,September
OTU11,0.019230769,September
OTU12,0.057692308,September
OTU13,0.004807692,September
OTU14,0.009615385,September
OTU15,0.009615385,September
OTU16,0.019230769,September
OTU18,0.028846154,September
OTU20,0,September
OTU22,0.057692308,September
OTU23,0,September
OTU24,0,September
OTU25,0,September
OTU26,0.019230769,September
OTU27,0.019230769,September
OTU29,0.009615385,September
OTU30,0,September
OTU31,0,September
OTU32,0,September
OTU33,0.019230769,September
OTU34,0.019230769,September
OTU36,0.019230769,September
OTU37,0,September
OTU38,0.019230769,September
OTU39,0.009615385,September
OTU40,0.019230769,September
OTU41,0,September
OTU42,0.009615385,September
OTU45,0.019230769,September
OTU46,0.019230769,September
OTU47,0,September
OTU48,0,September
