OTU,Relative Abundance,Species
OTU01,1,ABPR
OTU02,0,ABPR
OTU03,0,ABPR
OTU04,0,ABPR
OTU05,0,ABPR
OTU06,0,ABPR
OTU07,0,ABPR
OTU08,0,ABPR
OTU10,0,ABPR
OTU11,0,ABPR
OTU12,0,ABPR
OTU13,0,ABPR
OTU14,0,ABPR
OTU15,0,ABPR
OTU16,0,ABPR
OTU18,0,ABPR
OTU20,0,ABPR
OTU22,0,ABPR
OTU23,0,ABPR
OTU24,0,ABPR
OTU25,0,ABPR
OTU26,0,ABPR
OTU27,0,ABPR
OTU29,0,ABPR
OTU30,0,ABPR
OTU31,0,ABPR
OTU32,0,ABPR
OTU33,0,ABPR
OTU34,0,ABPR
OTU36,0,ABPR
OTU37,0,ABPR
OTU38,0,ABPR
OTU39,0,ABPR
OTU40,0,ABPR
OTU41,0,ABPR
OTU42,0,ABPR
OTU45,0,ABPR
OTU46,0,ABPR
OTU47,0,ABPR
OTU48,0,ABPR
OTU01,0.345238095,ALVI
OTU02,0.011904762,ALVI
OTU03,0,ALVI
OTU04,0.178571429,ALVI
OTU05,0.023809524,ALVI
OTU06,0,ALVI
OTU07,0.071428571,ALVI
OTU08,0.035714286,ALVI
OTU10,0.023809524,ALVI
OTU11,0,ALVI
OTU12,0.023809524,ALVI
OTU13,0,ALVI
OTU14,0.011904762,ALVI
OTU15,0.011904762,ALVI
OTU16,0,ALVI
OTU18,0.035714286,ALVI
OTU20,0.023809524,ALVI
OTU22,0.023809524,ALVI
OTU23,0,ALVI
OTU24,0,ALVI
OTU25,0,ALVI
OTU26,0.023809524,ALVI
OTU27,0,ALVI
OTU29,0,ALVI
OTU30,0,ALVI
OTU31,0,ALVI
OTU32,0,ALVI
OTU33,0.023809524,ALVI
OTU34,0.023809524,ALVI
OTU36,0.023809524,ALVI
OTU37,0,ALVI
OTU38,0.023809524,ALVI
OTU39,0.011904762,ALVI
OTU40,0,ALVI
OTU41,0,ALVI
OTU42,0.011904762,ALVI
OTU45,0,ALVI
OTU46,0.023809524,ALVI
OTU47,0,ALVI
OTU48,0.011904762,ALVI
OTU01,0.225,POTR
OTU02,0,POTR
OTU03,0.025,POTR
OTU04,0,POTR
OTU05,0,POTR
OTU06,0,POTR
OTU07,0.025,POTR
OTU08,0.1,POTR
OTU10,0,POTR
OTU11,0,POTR
OTU12,0,POTR
OTU13,0.075,POTR
OTU14,0.1,POTR
OTU15,0,POTR
OTU16,0.2,POTR
OTU18,0,POTR
OTU20,0,POTR
OTU22,0,POTR
OTU23,0,POTR
OTU24,0.05,POTR
OTU25,0,POTR
OTU26,0.1,POTR
OTU27,0,POTR
OTU29,0,POTR
OTU30,0,POTR
OTU31,0,POTR
OTU32,0,POTR
OTU33,0,POTR
OTU34,0,POTR
OTU36,0,POTR
OTU37,0,POTR
OTU38,0,POTR
OTU39,0,POTR
OTU40,0.1,POTR
OTU41,0,POTR
OTU42,0,POTR
OTU45,0,POTR
OTU46,0,POTR
OTU47,0,POTR
OTU48,0,POTR
OTU01,0.142857143,PSME
OTU02,0,PSME
OTU03,0.214285714,PSME
OTU04,0,PSME
OTU05,0,PSME
OTU06,0,PSME
OTU07,0,PSME
OTU08,0,PSME
OTU10,0,PSME
OTU11,0.071428571,PSME
OTU12,0.142857143,PSME
OTU13,0,PSME
OTU14,0,PSME
OTU15,0,PSME
OTU16,0,PSME
OTU18,0,PSME
OTU20,0,PSME
OTU22,0.071428571,PSME
OTU23,0.071428571,PSME
OTU24,0,PSME
OTU25,0,PSME
OTU26,0,PSME
OTU27,0.071428571,PSME
OTU29,0,PSME
OTU30,0.035714286,PSME
OTU31,0,PSME
OTU32,0,PSME
OTU33,0,PSME
OTU34,0,PSME
OTU36,0,PSME
OTU37,0,PSME
OTU38,0,PSME
OTU39,0,PSME
OTU40,0,PSME
OTU41,0.071428571,PSME
OTU42,0,PSME
OTU45,0.071428571,PSME
OTU46,0,PSME
OTU47,0.035714286,PSME
OTU48,0,PSME
OTU01,0.473684211,SASI
OTU02,0,SASI
OTU03,0.171052632,SASI
OTU04,0,SASI
OTU05,0,SASI
OTU06,0.105263158,SASI
OTU07,0,SASI
OTU08,0,SASI
OTU10,0,SASI
OTU11,0,SASI
OTU12,0,SASI
OTU13,0.026315789,SASI
OTU14,0,SASI
OTU15,0.013157895,SASI
OTU16,0,SASI
OTU18,0,SASI
OTU20,0.026315789,SASI
OTU22,0.026315789,SASI
OTU23,0.026315789,SASI
OTU24,0.039473684,SASI
OTU25,0,SASI
OTU26,0,SASI
OTU27,0.013157895,SASI
OTU29,0.013157895,SASI
OTU30,0,SASI
OTU31,0.013157895,SASI
OTU32,0.026315789,SASI
OTU33,0,SASI
OTU34,0,SASI
OTU36,0,SASI
OTU37,0.026315789,SASI
OTU38,0,SASI
OTU39,0,SASI
OTU40,0,SASI
OTU41,0,SASI
OTU42,0,SASI
OTU45,0,SASI
OTU46,0,SASI
OTU47,0,SASI
OTU48,0,SASI
OTU01,0.285714286,TSHE
OTU02,0,TSHE
OTU03,0.071428571,TSHE
OTU04,0,TSHE
OTU05,0,TSHE
OTU06,0,TSHE
OTU07,0,TSHE
OTU08,0,TSHE
OTU10,0.142857143,TSHE
OTU11,0.142857143,TSHE
OTU12,0.142857143,TSHE
OTU13,0,TSHE
OTU14,0,TSHE
OTU15,0,TSHE
OTU16,0,TSHE
OTU18,0,TSHE
OTU20,0,TSHE
OTU22,0,TSHE
OTU23,0,TSHE
OTU24,0,TSHE
OTU25,0.142857143,TSHE
OTU26,0,TSHE
OTU27,0,TSHE
OTU29,0.071428571,TSHE
OTU30,0,TSHE
OTU31,0,TSHE
OTU32,0,TSHE
OTU33,0,TSHE
OTU34,0,TSHE
OTU36,0,TSHE
OTU37,0,TSHE
OTU38,0,TSHE
OTU39,0,TSHE
OTU40,0,TSHE
OTU41,0,TSHE
OTU42,0,TSHE
OTU45,0,TSHE
OTU46,0,TSHE
OTU47,0,TSHE
OTU48,0,TSHE
