OTU,Relative Abundance,Type
OTU01,0.386111111,deciduous
OTU02,0.005555556,deciduous
OTU03,0.075,deciduous
OTU04,0.083333333,deciduous
OTU05,0.011111111,deciduous
OTU06,0.044444444,deciduous
OTU07,0.036111111,deciduous
OTU08,0.027777778,deciduous
OTU10,0.011111111,deciduous
OTU11,0,deciduous
OTU12,0.011111111,deciduous
OTU13,0.019444444,deciduous
OTU14,0.016666667,deciduous
OTU15,0.011111111,deciduous
OTU16,0.022222222,deciduous
OTU18,0.016666667,deciduous
OTU20,0.022222222,deciduous
OTU22,0.022222222,deciduous
OTU23,0.011111111,deciduous
OTU24,0.022222222,deciduous
OTU25,0,deciduous
OTU26,0.022222222,deciduous
OTU27,0.005555556,deciduous
OTU29,0.005555556,deciduous
OTU30,0,deciduous
OTU31,0.005555556,deciduous
OTU32,0.011111111,deciduous
OTU33,0.011111111,deciduous
OTU34,0.011111111,deciduous
OTU36,0.011111111,deciduous
OTU37,0.011111111,deciduous
OTU38,0.011111111,deciduous
OTU39,0.005555556,deciduous
OTU40,0.011111111,deciduous
OTU41,0,deciduous
OTU42,0.005555556,deciduous
OTU45,0,deciduous
OTU46,0.011111111,deciduous
OTU47,0,deciduous
OTU48,0.005555556,deciduous
OTU01,0.260869565,conifer
OTU02,0,conifer
OTU03,0.152173913,conifer
OTU04,0,conifer
OTU05,0,conifer
OTU06,0,conifer
OTU07,0,conifer
OTU08,0,conifer
OTU10,0.043478261,conifer
OTU11,0.086956522,conifer
OTU12,0.130434783,conifer
OTU13,0,conifer
OTU14,0,conifer
OTU15,0,conifer
OTU16,0,conifer
OTU18,0,conifer
OTU20,0,conifer
OTU22,0.043478261,conifer
OTU23,0.043478261,conifer
OTU24,0,conifer
OTU25,0.043478261,conifer
OTU26,0,conifer
OTU27,0.043478261,conifer
OTU29,0.02173913,conifer
OTU30,0.02173913,conifer
OTU31,0,conifer
OTU32,0,conifer
OTU33,0,conifer
OTU34,0,conifer
OTU36,0,conifer
OTU37,0,conifer
OTU38,0,conifer
OTU39,0,conifer
OTU40,0,conifer
OTU41,0.043478261,conifer
OTU42,0,conifer
OTU45,0.043478261,conifer
OTU46,0,conifer
OTU47,0.02173913,conifer
OTU48,0,conifer
